claim_id,plain_language,release_status,owner_lean,owner_cert
D0-LEAN-CORE-001,lean core,CORE-FORMALIZED,D0.TheoremLedger.ReleaseStatus,
D0-LEAN-BRIDGE-001,lean bridge,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.TheoremLedger.ReleaseStatus,
D0-FOUND-001,found,CORE-FORMALIZED,D0.Core.Phi,
D0-PHI-HURWITZ-001,phi hurwitz,CORE-FORMALIZED,D0.NumberTheory.HurwitzMinimaxPhi,vp_v1142_hurwitz_phi_phase_rigidity.py
D0-ABCD-001,abcd,CORE-FORMALIZED,D0.Core.DyadABCD,
D0-OMEGA8-001,omega8,CORE-FORMALIZED,D0.Core.DyadABCD,
D0-OMEGA8-CENTER-001,omega8 center,CORE-FORMALIZED,D0.Foundation.Omega8Center,vp_omega8_center_collapse.py
D0-CAPACITY-V9-001,capacity v9,CORE-FORMALIZED,D0.Core.FiniteTypes,
D0-CAPACITY-V11-001,capacity v11,CORE-FORMALIZED,D0.Core.FiniteTypes,
D0-CAPACITY-V13-001,capacity v13,CORE-FORMALIZED,D0.Core.FiniteTypes,
D0-SCENE-001,scene,CORE-FORMALIZED,D0.Combinatorics.Tripartite,
D0-NCG-INDEX-001,ncg index,CORE-FORMALIZED,D0.Combinatorics.Tripartite,
D0-PHASE-UNFOLD-002,phase unfold 002,CORE-FORMALIZED,D0.Phase,vp_v1143_forced_return_windows_capacity.py
D0-QM-BORN-001,qm born,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Born,
D0-QM-BORN-002,qm born 002,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Born,
D0-CARRIER-003,carrier 003,CORE_BRIDGE_SPLIT,D0.Algebra.Clifford,vp_v1145_operator_bridge_triple.py
D0-GAUGE-MATTER-001,gauge matter,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Topology.BoundaryBoundary,vp_v1132_gauge_matter_ward_anomaly.py
D0-GAUGE-MATTER-002,gauge matter 002,CORE-FORMALIZED,D0.Gauge.AnomalySums,vp_v1132_gauge_matter_ward_anomaly.py
D0-RG-001,rg,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Bridge.PhiDiscreteRG,vp_v1145_operator_bridge_triple.py
D0-SMOOTH-001,smooth,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Bridge.SmoothMetricBridge,vp_v1145_operator_bridge_triple.py
D0-PHASE-TOWER-001,phase tower,CORE-FORMALIZED,D0.Combinatorics.PhaseTowerMinimality,
D0-PHASE-TOWER-002,phase tower 002,NO_GO_PROVED,D0.Combinatorics.InfinitePhaseTower,
D0-ARCHIVE-TOWER-001,archive tower,CORE-FORMALIZED,D0.Geometry.ArchiveRefinementTower,
D0-ARCHIVE-MODE-EXPONENT-001,archive mode exponent,CORE-FORMALIZED,D0.Geometry.ArchiveModeExponent,
D0-ARCHIVE-HEATTRACE-001,archive heattrace,CERT-CLOSED,D0.Geometry.ArchiveHeatTrace,vp_archive_heat_trace_weyl_dimension.py
D0-ARCHIVE-LAPLACIAN-001,archive laplacian,CORE-FORMALIZED,D0.Geometry.ArchiveLaplacianProperties,
D0-ARCHIVE-RESOLVENT-001,archive resolvent,CORE-FORMALIZED,D0.Geometry.ArchiveResolventCompactness,
D0-SPECTRAL-ACTION-ADMISS-001,spectral action admiss,CERT-CLOSED,D0.Geometry.SpectralActionAdmissibility,vp_spectral_action_eh_coefficient.py;vp_spectral_action_expansion_stability.py
D0-HST-ARCHIVE-001,hst archive,CERT-CLOSED,D0.Probability.HSTExternalInterface,vp_archive_subgaussian_hst_admissibility.py;vp_archive_convex_order_domination.py
D0-ARCHIVE-ENTROPY-001,archive entropy,CERT-CLOSED,D0.Probability.EntropyCouplingKernel,vp_archive_entropy_softmax_coupling.py
D0-DM-CLASSICALITY-001,dm classicality,CERT-CLOSED,D0.Detector.WeakCouplingClassicalization,vp_dm_classicality_guardrail.py
D0-ARCHIVE-GAUSSIAN-CHANNEL-001,archive gaussian channel,CORE-FORMALIZED,D0.Probability.ArchiveClassicalGaussianChannel,
D0-GRAV-QNM-001,grav qnm,NO_GO_PROVED,D0.Gravity.BoundaryRelaxationSpectrum,vp_qnm_delta0_overtone_ladder.py
D0-GENERATION-RAYS-001,generation rays,NO_GO_PROVED,D0.Spectrum.GenerationSpectralRays,
D0-GEN-INDEX-001,gen index,CORE-FORMALIZED,D0.Spectrum.BranchDefectProjectiveGeneration,vp_pi0_branch_defect_generation.py
D0-GEN-MASS-001,gen mass,NO_GO_PROVED,D0.Spectrum.BranchDefectProjectiveControls,vp_pi0_branch_defect_generation.py
D0-ARCHIVE-PHASE-DISTANCE,archive phase distance,CORE-FORMALIZED,D0.Geometry.ArchivePhaseDistance,
D0-ARCHIVE-LAPLACIAN-PHASE-NATURALITY,archive laplacian phase naturality,NO_GO_PROVED,D0.Geometry.ArchiveLaplacianPhaseNaturality,
D0-ARCHIVE-PHASE-CURVATURE,archive phase curvature,CORE-FORMALIZED,D0.Geometry.ArchivePhaseCurvatureObstruction,
D0-ARCHIVE-LAPLACIAN-RG,archive laplacian rg,CORE-FORMALIZED,D0.Geometry.ArchiveLaplacianRG,vp_archive_laplacian_rg_flow.py
D0-ARCHIVE-SEAM-CURVATURE-001,archive seam curvature,CORE-FORMALIZED,D0.Geometry.ArchiveCurvatureDensity,vp_archive_seam_curvature_action.py
D0-ARCHIVE-ACTION-001,archive action,CORE-FORMALIZED,D0.Geometry.ArchiveActionFunctional,vp_archive_seam_curvature_action.py
D0-ARCHIVE-FIELD-EQ-001,archive field eq,CORE-FORMALIZED,D0.Geometry.ArchiveFieldEquation,vp_archive_variational_field_equation.py
D0-ARCHIVE-BIANCHI-001,archive bianchi,CORE-FORMALIZED,D0.Geometry.ArchiveBianchiIdentity,vp_archive_variational_field_equation.py
D0-MATTER-STRESS-COUPLING-001,matter stress coupling,CORE-FORMALIZED,D0.Matter.ArchiveStressCoupling,
D0-ARCHIVE-VARIATION-DUAL-001,archive variation dual,CORE-FORMALIZED,D0.Geometry.ArchiveVariationDual,
D0-ARCHIVE-STRESS-REP-001,archive stress rep,CORE-FORMALIZED,D0.Geometry.ArchiveStressRepresentative,
D0-ARCHIVE-WEAK-FIELD-001,archive weak field,CORE-FORMALIZED,D0.Geometry.ArchivePoissonEquation,vp_archive_weak_field_poisson.py
D0-MATTER-SOURCE-NEUTRALITY-001,matter source neutrality,CORE-FORMALIZED,D0.Matter.GeneratedMatterSource,
D0-MATTER-REP-001,matter rep,CORE-FORMALIZED,D0.Matter.GenerationMultiplicity,
D0-MATTER-ANOMALY-001,matter anomaly,CORE-FORMALIZED,D0.Matter.GenerationAnomalyPreservation,
D0-GEOM-OBSTRUCT-001,geom obstruct,CORE-FORMALIZED,D0.Geometry.ArchiveCurvatureObstruction,
D0-ARCHIVE-STRESS-CONSERVATION-001,archive stress conservation,CORE-FORMALIZED,D0.Frozen.ConservedStressProjection,
D0-ARCHIVE-SCALAR-REDUCTION-001,archive scalar reduction,CORE-FORMALIZED,D0.Active.ScalarPoissonReduction,
D0-MATTER-LOCALIZATION-001,matter localization,CORE-FORMALIZED,D0.Active.NonzeroMatterSourceNeutrality,
D0-COSMO-HOMOGENEOUS-FIXED-POINT-001,cosmo homogeneous fixed point,CORE-FORMALIZED,D0.Cosmology.ArchiveHomogeneousState,
D0-COSMO-ZERO-MEAN-UNDERDENSE-001,cosmo zero mean underdense,CORE-FORMALIZED,D0.Cosmology.ZeroMeanModes,
D0-COSMO-TRANSIENT-ACCELERATION-001,cosmo transient acceleration,CORE-FORMALIZED,D0.Cosmology.TransientAcceleration,
D0-COSMO-INSTABILITY-SATURATION-001,cosmo instability saturation,CORE-FORMALIZED,D0.Cosmology.InstabilitySaturation,vp_archive_friedmann_instability.py
D0-COSMO-ENTROPY-FLOW-FIXED-POINT-001,cosmo entropy flow fixed point,CORE-FORMALIZED,D0.Cosmology.EntropyArchiveFlow,
D0-COSMO-JACOBIAN-INSTABILITY-001,cosmo jacobian instability,CORE-FORMALIZED,D0.Cosmology.LinearizedEntropyFlow,
D0-COSMO-VOLUME-FLOOR-BOUND-001,cosmo volume floor bound,CORE-FORMALIZED,D0.Cosmology.ArchiveVolumeBounds,
D0-COSMO-CONCRETE-FLOW-001,cosmo concrete flow,CORE-FORMALIZED,D0.Cosmology.ConcreteEntropyArchiveFlow,
D0-COSMO-JACOBIAN-SIGN-001,cosmo jacobian sign,CORE-FORMALIZED,D0.Cosmology.EntropyJacobianSign,
D0-COSMO-FLOOR-PROJECTION-001,cosmo floor projection,CORE-FORMALIZED,D0.Cosmology.FloorMassProjection,
D0-COSMO-TICK-GAUGE-EQUIV-001,cosmo tick gauge equiv,CORE-FORMALIZED,D0.Geometry.ArchiveTickGaugeFixing,
D0-COSMO-WATER-FILLING-001,cosmo water filling,CORE-FORMALIZED,D0.Probability.ArchiveFloorWaterFilling,
D0-COSMO-CONFORMAL-TRACE-001,cosmo conformal trace,CORE-FORMALIZED,D0.Geometry.ConformalLaplacianTrace,
D0-GEOM-HEAT-TRACE-EH-PROXY-001,geom heat trace eh proxy,CORE-FORMALIZED,D0.Geometry.HeatTraceEHProxy,
D0-COSMO-CORE-SHAPE-PASSPORT-BOUNDARY-001,cosmo core shape passport boundary,CORE-FORMALIZED,D0.Cosmology.CoreShapePassportBoundary,
D0-GEOM-HEAT-TRACE-A2-DECOMP-001,geom heat trace a2 decomp,CORE-FORMALIZED,D0.Geometry.HeatTraceA2Decomposition,vp_spectral_action_eh_coefficient.py
D0-GEOM-SPECTRAL-ACTION-LADDER-001,geom spectral action ladder,CORE-FORMALIZED,D0.Geometry.SpectralActionLadder,vp_spectral_action_eh_coefficient.py
D0-GEOM-HIGHER-CURVATURE-FLOOR-BOUND-001,geom higher curvature floor bound,CORE-FORMALIZED,D0.Geometry.HigherCurvatureSuppression,vp_spectral_action_eh_coefficient.py
D0-TRACEABILITY-STATUS-TAXONOMY-001,traceability status taxonomy,CORE-FORMALIZED,D0.Traceability.StatusTaxonomy,
D0-OPERATOR-GAUGE-CURVATURE-ORIGIN-001,operator gauge curvature origin,CORE-FORMALIZED,D0.Matter.GaugeCurvatureOrigin,
D0-OPERATOR-VECTOR-LAPLACIAN-ORIGIN-001,operator vector laplacian origin,CORE-FORMALIZED,D0.Matter.VectorOperatorOrigin,
D0-OPERATOR-EDGE-STIFFNESS-ORIGIN-001,operator edge stiffness origin,CORE-FORMALIZED,D0.Geometry.EdgeStiffnessOrigin,
D0-NO-GO-BARE-ARCHIVE-NONABELIAN-001,no go bare archive nonabelian,NO-GO,D0.Bridge.OperatorOriginIndex,
D0-NO-GO-EDGE-STIFFNESS-SCALAR-LEAKAGE-001,no go edge stiffness scalar leakage,NO-GO,D0.Geometry.EdgeStiffnessOrigin,
D0-NO-GO-FLAT-TENSOR-NONABELIAN-001,no go flat tensor nonabelian,NO-GO,D0.Gauge.FlatTensorNoGo,
D0-GAUGE-NONABELIAN-DISCRETE-CURVATURE-001,gauge nonabelian discrete curvature,CORE-FORMALIZED,D0.Gauge.NonAbelianDiscreteCurvature,
D0-GAUGE-BIANCHI-RESIDUAL-BOUNDARY-001,gauge bianchi residual boundary,NO-GO,D0.Gauge.BianchiResidual,
D0-GAUGE-YANG-MILLS-KILLING-POSITIVITY-001,gauge yang mills killing positivity,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Gauge.YangMillsKillingPositivity,
D0-FINAL-BRIDGE-INDEX-001,final bridge index,CORE-FORMALIZED,D0.Bridge.FinalBridgeIndex,
D0-HURWITZ-LOCAL-BOUNDARY-001,hurwitz local boundary,CORE-FORMALIZED,D0.Algebra.HurwitzLocalBoundary,
D0-EXTERNAL-BACKGROUND-HURWITZ-GLOBAL-CLASSIFICATION-001,external background hurwitz global classification,EXTERNAL-BACKGROUND,D0.Algebra.D0InternalDimensionSelector,
D0-GAUGE-MATRIX-REP-TRANSFORM-001,gauge matrix rep transform,CORE-FORMALIZED,D0.Gauge.MatrixRepGaugeTransform,
D0-NO-GO-ABSTRACT-LIERING-FINITE-TRANSFORM-001,no go abstract liering finite transform,NO-GO,D0.Gauge.MatrixRepGaugeTransform,
D0-GAUGE-BIANCHI-GRADED-DEPRECATED-001,gauge bianchi graded deprecated,DEPRECATED,D0.Gauge.MatrixRepGaugeTransform,
D0-BRIDGE-SI-CALIBRATION-BOUNDARY-001,bridge si calibration boundary,BRIDGE-CALIBRATION,D0.Bridge.SICalibrationBoundary,vp_si_calibration_boundary.py
D0-HURWITZ-INTERNAL-DIMENSION-SELECTOR-001,hurwitz internal dimension selector,CORE-FORMALIZED,D0.Algebra.D0InternalDimensionSelector,
D0-GAUGE-WILSON-LINK-COVARIANCE-001,gauge wilson link covariance,CORE-FORMALIZED,D0.Gauge.WilsonLinkGaugeCovariance,
D0-NO-GO-NAIVE-LOCAL-GAUGE-COVARIANCE-001,no go naive local gauge covariance,NO-GO,D0.Gauge.WilsonLinkGaugeCovariance,
D0-GRADED-BIANCHI-EXACT-001,graded bianchi exact,CORE-FORMALIZED,D0.Gauge.GradedBianchiIdentity,
D0-NO-GO-UNGRADED-BIANCHI-RESIDUAL-001,no go ungraded bianchi residual,NO-GO,D0.Gauge.GradedBianchiIdentity,
D0-BRIDGE-SI-CALIBRATION-CLOSURE-001,bridge si calibration closure,BRIDGE-CALIBRATION,D0.Bridge.SICalibrationClosure,
D0-INTERPRETATION-SPINE-001,interpretation spine,CORE_BRIDGE_SPLIT,D0.Bridge.InterpretationSpine,
D0-TORUS-CORE13-GEOMETRY-001,torus core13 geometry,CORE-FORMALIZED,D0.Geometry.TorusCore13GeometryOrigin,vp_torus_core13_geometry_origin.py
D0-TORUS-GENERATION-SELECTOR-001,torus generation selector,CORE-FORMALIZED,D0.Matter.GenerationSelectorOrigin,vp_generation_selector_origin.py
D0-TORUS-GENERATION-OVERLAP-001,torus generation overlap,CORE-FORMALIZED,D0.Matter.GenerationOverlapResponseOrigin,vp_generation_selector_origin.py
D0-BORN-QUADRATIC-ORIGIN-001,born quadratic origin,CORE-FORMALIZED,D0.Core.BornQuadraticOrigin,vp_born_quadratic_origin.py
D0-CKM-NONTRIVIAL-FLAVOUR-ALGEBRA-001,ckm nontrivial flavour algebra,CORE-FORMALIZED,D0.Matter.CKMNontrivialFlavourAlgebra,vp_generation_overlap_response_origin.py
D0-QUASI009-CKM-PHASON-HOLONOMY-001,quasi009 ckm phason holonomy,CERT-CLOSED,,vp_ckm_phason_holonomy_k0.py
D0-MESON-POSITIVE-DEFECT-TRANSFER-001,meson positive defect transfer,CORE-FORMALIZED,D0.Matter.MesonDefectTransferOrigin,vp_meson_positive_defect_transfer.py
D0-GRAVITY-ENTROPIC-ARCHIVE-001,gravity entropic archive,CORE-FORMALIZED,D0.Gravity.EntropicArchiveInterface,vp_entropic_archive_gravity.py
D0-GRAVITY-MACRO-EINSTEIN-INTERFACE-001,gravity macro einstein interface,CORE_BRIDGE_SPLIT,D0.Gravity.MacroEinsteinInterface,vp_macro_einstein_interface.py
D0-TORAL-AUTOMORPHISM-GALOIS-BALANCE-001,toral automorphism galois balance,CORE-FORMALIZED,D0.Dynamics.ToralAutomorphism;D0.Dynamics.GaloisConjugateBalance;D0.Dynamics.DarkSectorCoarseGrain,vp_toral_automorphism_galois_balance.py
D0-TRACE-HEAT-CAPACITY-GRAVITY-001,trace heat capacity gravity,CORE_BRIDGE_SPLIT,D0.Core.FixedDetectorTimeLadder;D0.Dynamics.TraceHeatCapacityGravity,vp_trace_heat_capacity_gravity.py
D0-MASTER-EVOLUTION-001,master evolution,CORE-FORMALIZED,D0.Dynamics.MasterEvolutionTheorem,vp_master_evolution_theorem.py
D0-INFORMATION-QUASICRYSTAL-PHASE-UNFOLDING-001,information quasicrystal phase unfolding,CORE-FORMALIZED,D0.Geometry.HurwitzRigidPhaseGenerator;D0.Geometry.PhaseReturnBranchCount;D0.Geometry.PhaseUnfoldingQuasicrystal,vp_information_quasicrystal_phase_unfolding.py
D0-CONDENSED-PHI-VACUUM-CUT-PROJECT-001,condensed phi vacuum cut project,CORE-FORMALIZED,D0.Condensed.CondensedPhiVacuum;D0.Physics.QuasicrystalPhenomenology,vp_condensed_phi_vacuum_cut_project.py
D0-QUASICRYSTAL-PHENOMENOLOGY-OPERATOR-ORIGIN-001,quasicrystal phenomenology operator origin,CORE-FORMALIZED,D0.Physics.QuasiGenerationsInflation;D0.Physics.ArchivePhasonDarkMatter;D0.Physics.WindowOffsetChirality;D0.Physics.PhasonFlipInertia;D0.Physics.WindowFractionalCharge;D0.Physics.QuasicrystalPhenomenology,vp_quasicrystal_phenomenology_operator_origin.py
D0-QUASI008-PHASON-FLIP-ENTROPY-SDE-001,quasi008 phason flip entropy sde,CORE-FORMALIZED,D0.Cosmology.PhasonFlipEntropy,vp_phason_flip_entropy_sde.py
D0-QUASI006-GALOIS-LORENTZ-SIGNATURE-001,quasi006 galois lorentz signature,CORE-FORMALIZED,D0.Physics.GaloisLorentzSignature,vp_galois_lorentz_signature.py
D0-QUASI002-PHASON-STRAIN-GENERATIONS-BARYON-001,quasi002 phason strain generations baryon,CORE-FORMALIZED,D0.Matter.PhasonStrainGenerations,vp_quasi002_phason_strain_generations_baryon.py
D0-QUASI007-MESON-PHASON-DOMAIN-WALLS-001,quasi007 meson phason domain walls,CERT-CLOSED,,vp_phason_domain_wall_mesons.py
D0-ICECUBE-001,icecube,EMPIRICAL-PASSPORT,D0.Matter.NeutrinoPhasonWaves;D0.Passport.IceCubePhasonDecoherence,vp_neutrino_phason_decoherence_passport.py
D0-NO-GO-STRESS-SUITE-001,no go stress suite,NO_GO_PROVED,D0.NoGo.StressTestSuite,vp_no_go_stress_test_suite.py
D0-HULL-001,hull,CORE-FORMALIZED,D0.Claims.KTheoryGapModule,vp_d0_tiling_hull.py
D0-KTHEORY-001,ktheory,CERT-CLOSED,,vp_gap_labeling_d0_tiling_hull.py
D0-SOLENOID-001,solenoid,CERT-CLOSED,,vp_noncommutative_solenoid_gravity.py
D0-SOLENOID-GRAVITY-001,solenoid gravity,CERT-CLOSED,,vp_noncommutative_solenoid_gravity.py
D0-MESON-K0-001,meson k0,CERT-CLOSED,,vp_phason_domain_wall_mesons.py
D0-CKM-K0-001,ckm k0,CERT-CLOSED,,vp_ckm_phason_holonomy_k0.py
D0-SDE-K0-001,sde k0,CERT-CLOSED,,vp_phason_flip_entropy_sde.py
D0-SRC-001,src,CORE-FORMALIZED,D0.Matter.NuclearShellContactSRC,vp_nuclear_shell_contact_src.py
D0-SRC-NOGO-001,src nogo,NO_GO_PROVED,D0.Matter.NuclearShellContactSRC,vp_nuclear_shell_contact_src.py
D0-CVFT-001A,cvfta,CORE-FORMALIZED,D0.Dynamics.InternalFeedbackResolvent;D0.Cosmology.FeedbackPartitionFunction,vp_closed_vacuum_feedback_full_wave.py
D0-CVFT-001B,cvftb,PROOF-TARGET,,
D0-CVFT-NOGO-001,cvft nogo,NO_GO_PROVED,D0.Dynamics.InternalFeedbackResolvent;D0.Cosmology.FiniteFeedbackEquationOfState;D0.Matter.TerminalFeedbackModes;D0.Cosmology.SDEFeedbackReduction,vp_closed_vacuum_feedback_full_wave.py
D0-CVFT-F1,cvft f1,NO-GO,D0.Spectral.DeltaAlphaResidueBlocked,vp_feshbach_residue_amplitudes.py
D0-CVFT-F2,cvft f2,PROOF-TARGET,,vp_horizon_emission_conjugate_feedback.py
D0-CVFT-F3,cvft f3,CERT-CLOSED,,vp_cvft_baryon_s3_scaffold.py
D0-CVFT-F3B,cvft f3b,CORE-FORMALIZED,D0.Matter.BaryonSpinFlavourRanks,vp_cvft_baryon_spin_flavour_40_56.py
D0-CVFT-F4,cvft f4,CERT-CLOSED,,vp_cvft_uv_feedback_tail_bound_refined.py;vp_cvft_ueff_pole_discipline.py
D0-CVFT-F5,cvft f5,PROOF-TARGET,,
D0-CVFT-F6,cvft f6,PROOF-TARGET,,vp_gauge_boundary_commutator_obstruction.py
D0-CVFT-F7,cvft f7,CERT-CLOSED,,vp_cvft_boundary_channel_rank.py;vp_cvft_refined_logdet_rank_bound.py
D0-CVFT-F8,cvft f8,PROOF-TARGET,,
D0-IM-001,im,CORE-FORMALIZED,D0.IM.SelfSubstrateTrace,vp_self_substrate_trace_principle.py
D0-IM-002,im 002,CORE-FORMALIZED,D0.IM.FractalTick,vp_fractal_tick_informational_mechanics.py
D0-IM-003,im 003,CORE-FORMALIZED,D0.IM.ContinuumFromFractalTick,vp_continuum_from_fractal_tick.py
D0-IM-004,im 004,CORE-FORMALIZED,D0.Topology.WitnessHalting,vp_mobius_witness_topological_halting.py
D0-FOUND-004,found 004,CORE-FORMALIZED,D0.Core.BornQuadraticResponse,vp_quadratic_peel_born_holography.py
D0-GRAV-004,grav 004,CORE-FORMALIZED,D0.Gravity.MeasurementHorizonEquivalence,vp_measurement_horizon_equivalence.py
D0-GRAV-005,grav 005,CORE-FORMALIZED,D0.Gravity.OpticalJetBackreaction,vp_optical_jet_backreaction.py
D0-IM-005,im 005,CORE-FORMALIZED,D0.IM.FractalContinuumAndWitnessHalting,vp_continuum_from_fractal_tick.py
D0-GRAV-006,grav 006,CORE-FORMALIZED,D0.Gravity.HorizonJetAndBaryonPole,vp_horizon_jet_axis_observable.py
D0-EDGE-001,edge,DEPRECATED,,
D0-EDGE-002,edge 002,PROOF-TARGET,,
D0-EDGE-ALPHA-001,edge alpha,CORE-FORMALIZED,D0.Spectral.ZetaResidueAlpha,vp_edge_alpha_trace_constructive.py
D0-IM-COSMO-001,im cosmo,CORE-FORMALIZED,D0.Cosmology.ArchiveConvexity,vp_relative_archive_acceleration_cosmology_bridge.py
D0-IM-COSMO-002,im cosmo 002,CORE-FORMALIZED,D0.IM.ArchivePressureCoupling,vp_archive_pressure_coupling_from_relative_acceleration.py
D0-IM-COSMO-003,im cosmo 003,CORE-FORMALIZED,D0.IM.StrongLogdetPressure,vp_strong_logdet_pressure_coupling.py
D0-IM-COSMO-004,im cosmo 004,CORE-FORMALIZED,D0.IM.LogdetSecondResponse,vp_logdet_second_response_and_stability.py
D0-PUB-001,pub,PROOF-TARGET,,
D0-QUANT-MET-001,quant met,CORE-FORMALIZED,D0.Metrology.QuantumLimits,vp_quantum_metrology_limits.py
D0-QUANT-MET-002,quant met 002,CORE-FORMALIZED,D0.Metrology.PSDPurification,vp_quantum_metrology_limits.py
D0-QUANT-MET-003,quant met 003,PROOF-TARGET,D0.Metrology.Phi2Flux,
D0-QUANT-MET-004,quant met 004,PROOF-TARGET,D0.Metrology.PhasonBragg,
D0-XI5-TORUS-DEFECT-001,xi5 torus defect,CORE-FORMALIZED,D0.Claims.Xi5TorusDefect,vp_xi5_torus_defect.py
