claim_id,plain_language,release_status,owner_lean,owner_cert
D0-VIETA-GALOIS-ABCD-001,vieta galois abcd,CORE-FORMALIZED,D0.Claims.VietaGaloisAbcd,vp_vieta_galois_abcd.py
D0-KERNEL-ZONE-SPLIT-001,kernel zone split,CORE-FORMALIZED,D0.Claims.KernelZoneSplit,vp_kernel_zone_split.py
D0-DIM-LADDER-COMPACT-001,dim ladder compact,CORE-FORMALIZED,D0.Claims.DimLadderCompact,vp_dim_ladder_compact.py
D0-BH-CAPACITY-A4-001,bh capacity a4,CORE-FORMALIZED,D0.Gravity.BlackHoleCapacityA4,vp_black_hole_capacity_a4_witness.py
D0-HODGE-001,hodge,CORE-FORMALIZED,D0.Topology.BoundaryBoundary;D0.Topology.FiniteCochainNoAxion,vp_finite_hodge_complex_core.py
D0-MINCUT-001,mincut,CERT-CLOSED,,vp_finite_mincut_holographic_entropy.py
D0-SPIN2-001,spin2,CORE-FORMALIZED,D0.Claims.Spin2TT,vp_finite_spin2_wave_operator_concrete.py
D0-SPECTRAL-EINSTEIN-001,spectral einstein,PROOF-TARGET,,
D0-NOAXION-001,noaxion,CORE-FORMALIZED,D0.Topology.FiniteCochainNoAxion,vp_no_axion_finite_cochain.py
D0-NONABELIAN-SEAM-001,nonabelian seam,CORE-FORMALIZED,D0.Claims.NonabelianSeamGap,vp_nonabelian_seam_gap.py
D0-HODGE-LINKS-001,hodge links,PROOF-TARGET,,
D0-MASTER-BOOTSTRAP-001,master bootstrap,CERT-CLOSED,,vp_master_bootstrap_and_volume_derivative.py
D0-MESON-DEFECT-ALGEBRA-001,meson defect algebra,CERT-CLOSED,,vp_meson_defect_transfer_algebra.py
D0-HIGGS-YUKAWA-001,higgs yukawa,CORE-FORMALIZED,D0.Claims.HiggsYukawaBlock,vp_higgs_yukawa_section_transfer.py
D0-CANONICAL-OP-001,canonical op,CERT-CLOSED,,vp_canonical_operator_search.py
D0-CKM-EXACT-001,ckm exact,CORE-FORMALIZED,D0.Claims.CkmExactMatrix,vp_ckm_exact_matrix_certificate.py
D0-LEPTON-002,lepton 002,CERT-CLOSED,,vp_charged_lepton_transfer_certificate.py
D0-NEUTRON-002,neutron 002,CERT-CLOSED,,vp_neutron_lifetime_rate_closure.py
D0-PROTON-001,proton,CORE-FORMALIZED,D0.Matter.ProtonReadout306,vp_proton_terminal_destructive_readout.py
D0-GRAV-002,grav 002,CERT-CLOSED,,vp_single_section_gravity_completion.py
D0-EW-002,ew 002,CERT-CLOSED,,vp_higgs_anchor_projector.py
D0-FTHEORY-001,ftheory,CERT-CLOSED,,vp_ftheory_lw2016_d0_filter.py
D0-FTHEORY-002,ftheory 002,CERT-CLOSED,,vp_ftheory_lw2016_chiral_recombination_layer.py
D0-BARYON-S3-SYM-001,baryon s3 sym,CORE-FORMALIZED,D0.Matter.PhasonStrainGenerations,vp_baryon_s3_tensor_symmetrizer.py
D0-BOOK04-SELECTORS-001,book04 selectors,CORE-FORMALIZED,D0.Claims.Book04Selectors,vp_book04_centered_full_support_selectors.py
D0-BOOK04-SELECTORS-002,book04 selectors 002,CORE-FORMALIZED,D0.Matter.Book04CombinatorialSelectorOrigins,vp_book04_combinatorial_selector_origins.py
D0-HEAT-TRACE-FIT-001,heat trace fit,CERT-CLOSED,,vp_archive_heat_trace_expansion_fit.py
D0-METRO-002,metro 002,CERT-CLOSED,,vp_calibration_dag_and_lambda_section_rigidity_20260522.py
D0-COSMO-003,cosmo 003,CERT-CLOSED,,vp_boundary_dark_survey_driver_kernel.py
D0-COSMO-002,cosmo 002,CERT-CLOSED,,vp_final_survey_likelihood_and_baryon_form_factor_closure_20260522.py
D0-DUSTY-PLASMA-001,dusty plasma,PROOF-TARGET,,vp_dusty_plasma_d0_mapping.py
D0-CRITICAL-COLLAPSE-001,critical collapse,CORE_BRIDGE_SPLIT,,vp_critical_collapse_dss_echo_lattice.py
D0-PASSPORT-CORE13-001,passport core13,EMPIRICAL-PASSPORT,,vp_core13_shell_geometry_passport.py
D0-PASSPORT-DESI-BAO-001,passport desi bao,PROOF-TARGET,,vp_desi_bao_sde_failure_diagnostics.py
D0-PASSPORT-ICECUBE-HESE-001,passport icecube hese,PROOF-TARGET,,vp_icecube_hese_baseline_comparison.py
D0-PASSPORT-LIGO-CATALOG-001,passport ligo catalog,PROOF-TARGET,,vp_ligo_merger_mass_defect_current_catalog.py
D0-PASSPORT-PDG-STRICT-001,passport pdg strict,EMPIRICAL-PASSPORT,,vp_pdg_strict_passport.py
D0-PASSPORT-SPARC-001,passport sparc,PROOF-TARGET,,vp_sparc_hull_boundary_response_kernel.py
D0-NOGO-LIGO-DISCOVERY-001,nogo ligo discovery,NO-GO,,vp_ligo_discovery_negative_control.py
D0-Q8-DEDEKIND-MINIMALITY-001,q8 dedekind minimality,CORE-FORMALIZED,D0.Claims.Q8DedekindMinimality,vp_q8_dedekind_minimality.py
D0-WINDOW44-GROUP-SPECTRUM-001,window44 group spectrum,CORE-FORMALIZED,D0.Claims.Window44GroupSpectrum,vp_window44_group_spectrum.py
D0-TIME-2D-PISOT-001,time 2d pisot,CORE-FORMALIZED,D0.Claims.Time2DPisot,vp_time_2d_pisot.py
D0-MIXING-HIERARCHY-INVERSION-001,mixing hierarchy inversion,CORE-FORMALIZED,D0.Claims.MixingHierarchyInversion,vp_mixing_hierarchy_inversion.py
D0-SIGNATURE-31-SPLIT-001,signature 31 split,CORE-FORMALIZED,D0.Claims.Signature31Split,vp_signature_31_split.py
D0-ALPHA-ZETA-RESIDUE-001,alpha zeta residue,CORE-FORMALIZED,D0.Spectral.ZetaResidueAlpha,vp_zeta_residue_alpha.py
D0-Z2-SPINOR-COVER-001,z2 spinor cover,CORE-FORMALIZED,D0.Synthesis.Z2SpinorCover,vp_z2_spinor_cover.py
D0-TIME-MODULAR-FLOW-001,time modular flow,CERT-CLOSED,,vp_quasicrystal_time_sturmian.py
D0-CARRIER-FULL-FORCING-001,carrier full forcing,CORE-FORMALIZED,D0.Synthesis.CarrierForcing,vp_carrier_full_forcing.py
D0-SYMPLECTIC-GLEASON-001,symplectic gleason,CORE-FORMALIZED,D0.Synthesis.CarrierForcing,vp_symplectic_gleason_uniqueness.py
D0-CLASS5-ALIASING-001,class5 aliasing,CORE-FORMALIZED,D0.Claims.Class5Aliasing,vp_class5_aliasing_cabibbo.py
D0-VACUUM-CUBIC-WINDOW-001,vacuum cubic window,CERT-CLOSED,,vp_vacuum_cubic_window.py
D0-GRAVASTAR-FORMATION-BRIDGE-001,gravastar formation bridge,CERT-CLOSED,,vp_gravastar_os_arrest.py
D0-COMPACTNESS-LIMIT-001,compactness limit,CERT-CLOSED,,vp_gravastar_compactness.py
D0-GRAVASTAR-GW-FALSIFIER-001,gravastar gw falsifier,EMPIRICAL-PASSPORT,,vp_gravastar_gw_falsifier.py
D0-PHASON-FORCING-001,phason forcing,CERT-CLOSED,,vp_phason_forcing.py
D0-PMNS-DELTA0-NUFIT-001,pmns delta0 nufit,EMPIRICAL-PASSPORT,,vp_pmns_delta0_nufit.py;vp_pmns_baseline_correction.py
D0-H0-EVOLVING-W-001,h0 evolving w,PROOF-TARGET,,vp_h0_evolving_w.py
D0-PHASON-THAWING-001,phason thawing,CORE-FORMALIZED,D0.Cosmology.ArchiveConvexity,vp_phason_thawing.py
D0-E8-COLDEA-ANCHOR-001,e8 coldea anchor,CERT-CLOSED,,vp_e8_coldea_anchor.py
D0-RANK3-CAUSAL-CONE-001,rank3 causal cone,CORE-FORMALIZED,D0.Synthesis.RankCausalCone,
D0-DELTA-ALPHA-EXACT-001,delta alpha exact,CORE-FORMALIZED,D0.Spectral.DeltaAlphaExact,vp_delta_alpha_exact.py
D0-DELTA-ALPHA-MOMENT-001,delta alpha moment,CORE-FORMALIZED,D0.Spectral.DeltaAlphaMoment,vp_delta_alpha_pi0_moment.py
D0-MASS-CHAIN-001,mass chain,CERT-CLOSED,,vp_mass_chain_alpha.py
D0-KTHEORY-GAP-MODULE-001,ktheory gap module,CORE-FORMALIZED,D0.Claims.KTheoryGapModule,vp_ktheory_gap_labels_finite.py
D0-EW-WINDOW-FORCING-001,ew window forcing,CERT-CLOSED,,vp_ew_window_forcing.py
D0-HIGGS-CUBE-DIAGONAL-001,higgs cube diagonal,BRIDGE-CALIBRATION,,vp_higgs_cube_forcing.py
D0-COMPACTNESS-DEF-FORCING-001,compactness def forcing,CORE-FORMALIZED,D0.Gravity.CompactnessLimit,vp_compactness_def_forcing.py
D0-PHI99-DEPTH-FORCING-001,phi99 depth forcing,CERT-CLOSED,,vp_phi99_depth_forcing.py
D0-ICOSIAN-E8-GRAM-001,icosian e8 gram,CORE-FORMALIZED,D0.Claims.IcosianE8GramFinite,vp_icosian_e8_gram_finite.py
D0-JONES-INDEX-PHI-001,jones index phi,CORE-FORMALIZED,D0.Claims.JonesIndexPhi,vp_jones_index_phi_finite.py
D0-CONNES-RECONSTRUCTION-OWNER-001,connes reconstruction owner,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Bridge.ConnesReconstructionBridge,
D0-DIXMIER-RESIDUE-OWNER-001,dixmier residue owner,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Bridge.DixmierTraceBridge,vp_cvft_clifford_fock_capacity.py
D0-RIEFFEL-GHP-CONTINUUM-OWNER-001,rieffel ghp continuum owner,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Bridge.RieffelGHPBridge,vp_connes_distance_geodesic.py
D0-TIME-MODULAR-FLOW-OWNER-001,time modular flow owner,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Bridge.TomitaTakesakiBridge,
D0-DIM8-NETWORK-001,dim8 network,CORE-FORMALIZED,D0.Synthesis.DimensionEightNetwork,vp_dim8_network.py
D0-FIBONACCI-IF-FORCING-001,fibonacci if forcing,CERT-CLOSED,D0.Claims.FibonacciIfBridge,vp_fibonacci_if_bridge.py
D0-ADLER-WEISS-PARTITION-OWNER-001,adler weiss partition owner,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Bridge.AdlerWeissBridge,vp_fibonacci_if_bratteli.py
D0-PACKING-LIMIT-001,packing limit,CERT-CLOSED,,vp_packing_limit_probe.py
D0-COMPLEX-QM-FORCING-001,complex qm forcing,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Bridge.ComplexQMBridge,
D0-M1-INFO-RECONSTRUCTION-001,m1 info reconstruction,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Bridge.M1InfoReconstructionBridge,
D0-MODULAR-TIME-FLAVOR-001,modular time flavor,CERT-CLOSED,,vp_modular_time_flavor.py
D0-DSI-EXPERIMENTAL-001,dsi experimental,CERT-CLOSED,,vp_dsi_experimental.py
D0-ENTROPIC-DARK-GRAVITY-001,entropic dark gravity,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Bridge.VerlindeEntropicBridge,
D0-GENERATIVE-DYNAMICS-001,generative dynamics,CERT-CLOSED,D0.Claims.GluingAnomalyTime,vp_feshbach_schur_dynamics.py;vp_gluing_anomaly_time.py;vp_loop_floor_epsilon.py;vp_rg_forgetting.py
D0-LAPLACIAN-SPECTRUM-FIX-001,laplacian spectrum fix,CORE-FORMALIZED,D0.Spectral.ZoneMatrixSpectrum,vp_laplacian_3x3_correct.py
D0-IF-KS-FORMULA-FIX-001,if ks formula fix,CORE-FORMALIZED,D0.Claims.FibonacciIfBridge;D0.Claims.FibonacciFusionRing,vp_if_kolmogorov_sinai.py
D0-FOURCOLOR-HORIZON-CAPACITY-001,fourcolor horizon capacity,CERT-CLOSED,,vp_fourcolor_horizon_capacity.py
D0-CKM-PMNS-COMPLEMENTARITY-001,ckm pmns complementarity,CERT-CLOSED,,vp_ckm_pmns_orthogonality.py
D0-WINDOW44-TOTIENT-M1-001,window44 totient m1,CERT-CLOSED,,vp_window44_totient_m1.py
D0-TOWER-STOP-NOEXT-001,tower stop noext,CORE-FORMALIZED,D0.Tower.NoExtension,vp_zone_repeat_catalog.py;vp_member_zone_isomorphism.py;vp_degree2_three_types.py
D0-QUASICRYSTAL-CARRIER-FORCING-001,quasicrystal carrier forcing,CERT-CLOSED,,vp_quasicrystal_carrier_forcing.py
D0-QUASICRYSTAL-PROJECTION-001,quasicrystal projection,CERT-CLOSED,,vp_icosahedral_cutproject.py;vp_e8_quasicrystal_slice.py;vp_carrier_not_icosahedral.py
D0-RANK3-CAUSAL-CONE-FORCING-001,rank3 causal cone forcing,CORE_BRIDGE_SPLIT,D0.Synthesis.RankCausalConeForcing,vp_rank3_causal_cone_forcing.py
D0-RANK3-METRIC-TRANSPORT-001,rank3 metric transport,CERT-CLOSED,,vp_rank3_metric_transport.py
D0-CONNES-DISTANCE-GEODESIC-001,connes distance geodesic,CERT-CLOSED,,vp_connes_distance_geodesic.py
D0-CARRIER-NOT-ICOSAHEDRAL-001,carrier not icosahedral,CORE-FORMALIZED,D0.Claims.CarrierNotIcosahedral,vp_carrier_not_icosahedral.py
D0-DETECTION-QUADRATIC-001,detection quadratic,CORE-FORMALIZED,D0.Tower.DetectionQuadratic,vp_detection_quadratic_types.py
D0-UNITY-SPLIT-SPACETIME-001,unity split spacetime,CERT-CLOSED,D0.Synthesis.UnitySplitSpacetime,vp_unity_split_spacetime.py
D0-FROBENIUS-DIVISION-3D-001,frobenius division 3d,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Foundation.FrobeniusDivision3D,vp_frobenius_division_3d.py
D0-LATTICE-FINITENESS-BRIDGE-001,lattice finiteness bridge,BRIDGE-ASSUMPTIONS-EXPLICIT,,vp_lattice_finiteness_bridge.py
D0-GALOIS-PHI-IRRATIONAL-001,galois phi irrational,CORE-FORMALIZED,D0.Algebra.GaloisPhiNontrivial,
D0-SCENE-ACTIVE-EIGENVALUES-001,scene active eigenvalues,CORE-FORMALIZED,D0.Geometry.SceneActiveEigenvalues,vp_scene_active_eigenvalues_exact.py
D0-PISOT-CONTRACTION-TIME-ARROW-001,pisot contraction time arrow,CORE-FORMALIZED,D0.Dynamics.PisotContraction,
D0-ARCHIVE-LIGHTPROFINITE-001,archive lightprofinite,CORE-FORMALIZED,D0.Geometry.ArchiveLightProfinite,
D0-FORGETTING-CHANNEL-PTP-001,forgetting channel ptp,CORE-FORMALIZED,D0.Probability.ForgettingChannelPTP,
D0-DELONE-PHI-001,delone phi,CORE-FORMALIZED,D0.Topology.DeloneInstance,
D0-FIBONACCI-FUSION-RING-001,fibonacci fusion ring,CORE-FORMALIZED,D0.Claims.FibonacciFusionRing,
D0-FORGETTING-CHANNEL-CP-001,forgetting channel cp,CORE-FORMALIZED,D0.Probability.ForgettingChannelCP,
D0-BRAID-VALENCE-U1-001,braid valence u1,CORE-FORMALIZED,D0.Gauge.BraidValence,
D0-M1-PREDICATE-001,m1 predicate,CORE-FORMALIZED,D0.Foundation.M1Predicate,
D0-HYDRO-NO-BLOWUP-KAPPA-001,hydro no blowup kappa,CORE-FORMALIZED,D0.Dynamics.LatticeHydroNoBlowup,
D0-CONTINUUM-INVLIM-001,continuum invlim,CORE-FORMALIZED,D0.Foundation.ContinuumAsInverseLimit,
D0-BSD-RANK-PASSPORT-001,bsd rank passport,CORE-FORMALIZED,D0.Synthesis.BSDRankNullityPassport,
D0-MASSGAP-COSTQUANTUM-001,massgap costquantum,CORE-FORMALIZED,D0.Gauge.MassGapCostQuantum,
D0-HODGE-M1-REDUCTIO-001,hodge m1 reductio,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Topology.HodgeAlgebraicRealization,
D0-RIEMANN-AXIS-M1-001,riemann axis m1,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Spectral.CriticalAxisM1,
D0-PVSNP-LYAPUNOV-M1-001,pvsnp lyapunov m1,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Complexity.HeatTraceLyapunov,
D0-SEAM-HOLONOMY-001,seam holonomy,CORE-FORMALIZED,D0.Spectral.SeamHolonomy,vp_seam_holonomy_alpha.py
D0-ALPHA-HOLONOMY-002,alpha holonomy 002,CERT-CLOSED,,vp_seam_holonomy_alpha.py
D0-PI0-DISCRETE-ANGLE-001,pi0 discrete angle,CORE-FORMALIZED,D0.Geometry.Pi0DiscreteAngle,vp_pi0_discrete_angle.py
D0-Q8-SIN-CHANNEL-001,q8 sin channel,CORE-FORMALIZED,D0.Spectral.SeamHolonomy,vp_q8_sin_channel.py
D0-PMNS-SEAM-TOPOLOGY-001,pmns seam topology,CORE-FORMALIZED,D0.Matter.PMNSSeamTopology,vp_pmns_seam_topology.py
D0-PMNS-DELTACP-PI0-001,pmns deltacp pi0,PROOF-TARGET,,
D0-XI5-CROSS-SECTOR-001,xi5 cross sector,CORE-FORMALIZED,D0.Claims.Xi5TorusDefect,vp_xi5_cross_sector.py
D0-ALPHA-MEASUREMENT-LIMIT-001,alpha measurement limit,EMPIRICAL-PASSPORT,,vp_alpha_measurement_limit.py
D0-BRIDGE-COMPRESSION-001,bridge compression,CERT-CLOSED,,vp_bridge_compression.py
D0-PHI-CYLINDER-TRACE-UNIQUE-001,phi cylinder trace unique,CERT-CLOSED,,vp_phi_cylinder_trace_unique.py
D0-PHI-CSTAR-PASSPORT-001,phi cstar passport,PASSPORT-CLOSED,,vp_phi_cstar_passport.py
D0-ALPHA-MU2-FULL-LEDGER-001,alpha mu2 full ledger,CERT-CLOSED,,vp_alpha_mu2_full_ledger.py
D0-NEUTRINO-MASS-PASSPORT-001,neutrino mass passport,PASSPORT-CLOSED,,vp_neutrino_mass_passport.py
D0-SMOOTH-MANIFOLD-PASSPORT-001,smooth manifold passport,PASSPORT-CLOSED,,vp_smooth_manifold_passport.py
D0-PHI-LADDER-SEMIGROUP-001,phi ladder semigroup,CERT-CLOSED,,vp_phi_ladder_semigroup.py
D0-ALPHA-MU1-RANKTRACE-001,alpha mu1 ranktrace,CERT-CLOSED,,vp_alpha_mu1_rank_trace.py
D0-ALPHA-ALG-CLOSED-001,alpha alg closed,CERT-CLOSED,,vp_alpha_alg_closed.py
D0-DELTA-ALPHA-SEAM-CLOSED-001,delta alpha seam closed,CERT-CLOSED,,vp_delta_alpha_seam_closed.py
D0-GAUGE-MASS-GAP-PLAQUETTE-001,gauge mass gap plaquette,CERT-CLOSED,,vp_gauge_mass_gap_plaquette.py
D0-PHI-STURMIAN-CYLINDER-CONJUGACY-001,phi sturmian cylinder conjugacy,CERT-CLOSED,,vp_phi_sturmian_cylinder_conjugacy.py
D0-BARYON-ASYMMETRY-DELTA0-001,baryon asymmetry delta0,CERT-CLOSED,D0.Matter.TickS3BaryonAsymmetry,vp_baryon_asymmetry_delta0.py
D0-LEPTON-RAW-GRAPH-COEFFICIENT-OWNER-001,lepton raw graph coefficient owner,PROOF-TARGET,,vp_lepton_raw_graph_owner_manifest.py
D0-BARE-GRAPH-DECIMAL-NOGO-001,bare graph decimal nogo,NO-GO,,vp_bare_graph_decimal_nogo.py
D0-PHI-STURMIAN-PROFINITE-CODE-CONJUGACY-001,phi sturmian profinite code conjugacy,CERT-CLOSED,,vp_phi_sturmian_profinite_code_conjugacy.py
D0-LEPTON-INDIRECT-COEFFICIENT-OWNER-001,lepton indirect coefficient owner,PROOF-TARGET,,vp_lepton_indirect_coefficient_owner.py
D0-PHASON-WZ-KERNEL-ONLY-NOGO-001,phason wz kernel only nogo,NO-GO,D0.Cosmology.PhasonWZTransfer,vp_phason_wz_transfer_owner.py
D0-PHASON-PRESSURE-EOS-SCAFFOLD-001,phason pressure eos scaffold,CERT-CLOSED,D0.Cosmology.PhasonWZTransfer,vp_phason_pressure_eos.py
D0-PHASON-WZ-TRANSFER-OWNER-001,phason wz transfer owner,PROOF-TARGET,,vp_phason_wz_transfer_owner.py
D0-PHASON-WZ-FINITE-SEQUENCE-SCAFFOLD-001,phason wz finite sequence scaffold,CERT-CLOSED,,vp_phason_wz_explicit_function.py
D0-PHASON-WZ-EXPLICIT-FUNCTION-001,phason wz explicit function,PROOF-TARGET,,vp_phason_wz_explicit_function.py
D0-LEPTON-INDIRECT-GREEN-PUISEUX-SCOUT-001,lepton indirect green puiseux scout,CERT-CLOSED,,vp_lepton_green_puiseux_scout.py
D0-ALPHA-FESHBACH-RESIDUE-FINITE-SUM-001,alpha feshbach residue finite sum,CERT-CLOSED,D0.Spectral.AlphaFeshbachDixmierOwner,vp_alpha_feshbach_residue_finite_sum.py
D0-ALPHA-FESHBACH-DIXMIER-OWNER-001,alpha feshbach dixmier owner,PROOF-TARGET,,vp_alpha_feshbach_dixmier_owner.py
D0-NEUTRINO-DELTA-ALPHA-NORM-SQUARE-001,neutrino delta alpha norm square,CERT-CLOSED,D0.Spectral.AlphaFeshbachDixmierOwner,vp_neutrino_delta_alpha_norm_square.py
D0-LEPTON-GREEN-PUISEUX-OPERATOR-001,lepton green puiseux operator,CERT-CLOSED,D0.Matter.LeptonGreenPuiseuxOwner,vp_lepton_green_puiseux_operator.py
D0-LEPTON-STURMIAN-PUISEUX-COEFFICIENTS-001,lepton sturmian puiseux coefficients,CERT-CLOSED,,vp_lepton_sturmian_puiseux_coefficients.py
D0-LEPTON-PUISEUX-DECIMAL-SECTION-001,lepton puiseux decimal section,PROOF-TARGET,,vp_lepton_puiseux_decimal_section.py
D0-LUCAS-VORONOI-MARKOV-PARTITION-001,lucas voronoi markov partition,CERT-CLOSED,D0.Geometry.LucasVoronoiMarkovPartition,vp_lucas_voronoi_markov_partition.py
D0-TORAL-TIME-MARKOV-CONJUGACY-001,toral time markov conjugacy,PROOF-TARGET,D0.Geometry.LucasVoronoiMarkovPartition,vp_toral_time_markov_conjugacy.py
D0-ADLER-WEISS-INTERNAL-CONSTRUCTION-001,adler weiss internal construction,PROOF-TARGET,,vp_adler_weiss_internal_construction.py
D0-PHASON-WDE-SIGN-NORMALIZATION-OWNER-001,phason wde sign normalization owner,CERT-CLOSED,D0.Cosmology.PhasonWDESignNormalization,vp_phason_wde_sign_normalization_owner.py
D0-PHASON-WZ-LOGDET-WINDOW-OWNER-001,phason wz logdet window owner,PROOF-TARGET,,vp_phason_wz_logdet_window_owner.py
D0-PHASON-WZ-CPL-PASSPORT-001,phason wz cpl passport,PASSPORT-CLOSED,,vp_phason_wz_cpl_passport.py
D0-CONNES-GRAPH-DISTANCE-OWNER-001,connes graph distance owner,CERT-CLOSED,,vp_connes_graph_distance_owner.py
D0-GHP-GOLDEN-CAUCHY-BOUND-001,ghp golden cauchy bound,CERT-CLOSED,D0.Geometry.GHPGoldenCauchyBound,vp_ghp_golden_cauchy_bound.py
D0-SMOOTH-MANIFOLD-INTERNAL-LIMIT-001,smooth manifold internal limit,PASSPORT-CLOSED,,vp_smooth_manifold_internal_limit.py
D0-SM-ANOMALY-CANCELLATION-OWNER-001,sm anomaly cancellation owner,CERT-CLOSED,D0.Matter.HyperchargeGraphFlowOwner,vp_sm_anomaly_cancellation_owner.py
D0-HYPERCHARGE-GRAPH-FLOW-OWNER-001,hypercharge graph flow owner,PROOF-TARGET,,vp_hypercharge_graph_flow_owner.py
D0-SM-HYPERCHARGE-MINIMAL-DENOMINATOR-001,sm hypercharge minimal denominator,CERT-CLOSED,D0.Matter.HyperchargeMinimalDenominator,vp_sm_hypercharge_minimal_denominator.py
D0-PAGE-CURVE-FINITE-RANK-OWNER-001,page curve finite rank owner,CERT-CLOSED,D0.Gravity.PageCurveFiniteRankOwner,vp_page_curve_finite_rank_owner.py
