claim_id,previous_status,current_status,owner_module,certificate,book_section,already_done,remaining_artifact,action_required,assigned_agent
D0-STATIC-TO-DYNAMICS-OWNER-001,(prior campaign),CERT-CLOSED,D0.Evolution.StaticToDynamicsOwner,vp_static_to_dynamics_owner.py,BOOK_06/06.8.S,yes,,DONE (closed in a prior committed campaign),C-controller
D0-JY-NONCOMMUTATIVE-ORDER-OBSTRUCTION-001,(prior campaign),CERT-CLOSED,D0.Evolution.JYNoncommutativeOrderObstruction,vp_jy_noncommutative_order_obstruction.py,BOOK_06/06.8.S,yes,,DONE (closed in a prior committed campaign),C-controller
D0-TIME-ARROW-ORDERED-SELF-READOUT-001,(prior campaign),CERT-CLOSED,D0.Evolution.JYNoncommutativeOrderObstruction,vp_jy_noncommutative_order_obstruction.py,BOOK_06/06.8.S,yes,,DONE (closed in a prior committed campaign),C-controller
D0-FESHBACH-SCHUR-TIME-DELAY-OWNER-001,(prior campaign),CERT-CLOSED,D0.Evolution.FeshbachSchurTimeDelayOwner,vp_feshbach_schur_time_delay_owner.py,BOOK_06/06.8,yes,,DONE (closed in a prior committed campaign),C-controller
D0-ARCHIVE-NEUMANN-TICK-OWNER-001,(prior campaign),CERT-CLOSED,D0.Evolution.FeshbachSchurTimeDelayOwner,vp_archive_neumann_tick_owner.py,BOOK_06/06.8,yes,,DONE (closed in a prior committed campaign),C-controller
D0-PHI-FRACTAL-TICK-DYNAMICS-OWNER-001,(prior campaign),CERT-CLOSED,D0.Evolution.PhiFractalTickDynamics,vp_phi_fractal_tick_dynamics.py,BOOK_06/06.6,yes,,DONE (closed in a prior committed campaign),C-controller
D0-CONTINUOUS-TIME-SEMIGROUP-ENVELOPE-001,(prior campaign),CERT-CLOSED,D0.Evolution.PhiFractalTickDynamics,vp_continuous_time_semigroup_envelope.py,BOOK_06/06.6,yes,,DONE (closed in a prior committed campaign),C-controller
D0-DYNAMICS-NOT-PRIMITIVE-CERT-CLOSED-001,(prior campaign),CERT-CLOSED,D0.Evolution.StaticToDynamicsOwner,vp_dynamics_not_primitive.py,BOOK_06/06.8.S,yes,,DONE (closed in a prior committed campaign),C-controller
D0-CONSTRAINED-HAMILTONIAN-EMBEDDING-PASSPORT-001,(prior campaign),PASSPORT-CLOSED,D0.Bridge.ConstrainedHamiltonianEmbeddingPassport,vp_constrained_hamiltonian_embedding_passport.py,BOOK_06/06.8.H,yes,,DONE (closed in a prior committed campaign),C-controller
D0-NONRECIPROCAL-ACTIVE-DYNAMICS-FORMALISM-BRIDGE-001,(prior campaign),PASSPORT-CLOSED,D0.Bridge.ConstrainedHamiltonianEmbeddingPassport,vp_constrained_hamiltonian_embedding_passport.py,BOOK_03/03.3,yes,,DONE (closed in a prior committed campaign),C-controller
D0-FESHBACH-CONSTRAINT-SUBMANIFOLD-BRIDGE-001,(prior campaign),PASSPORT-CLOSED,D0.Bridge.ConstrainedHamiltonianEmbeddingPassport,vp_constrained_hamiltonian_embedding_passport.py,BOOK_06/06.8.H,yes,,DONE (closed in a prior committed campaign),C-controller
D0-FLOQUET-NONRECIPROCAL-DYNAMICS-BRIDGE-001,(prior campaign),PASSPORT-CLOSED,D0.Bridge.ConstrainedHamiltonianEmbeddingPassport,vp_constrained_hamiltonian_embedding_passport.py,BOOK_06/06.8.H,yes,,DONE (closed in a prior committed campaign),C-controller
D0-DIXMIER-RESIDUE-OWNER-001,(prior campaign),BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Bridge.DixmierTraceBridge,vp_cvft_clifford_fock_capacity.py,BOOK_02/residue-extraction owner (Dixmier trace / noncommutative integral) for the CVFT-F1 mu2=2^11 amplitude (02.13.4),yes,,DONE (closed in a prior committed campaign),C-controller
D0-DIXMIER-FESHBACH-FINITE-HEATTRACE-001,(prior campaign),NO-GO,D0.Spectral.DixmierFeshbachFiniteHeatTrace,vp_dixmier_feshbach_finite_heattrace.py,BOOK_02/02.13,yes,,DONE (closed in a prior committed campaign),C-controller
D0-CKM-CLASS5-SELECTOR-OWNER-001,(prior campaign),CERT-CLOSED,D0.Matter.CKMClass5SelectorOwner,vp_ckm_class5_selector_owner.py,BOOK_04/04.10,yes,,DONE (closed in a prior committed campaign),C-controller
D0-CLASS5-ALIASING-001,(prior campaign),CORE-FORMALIZED,D0.Claims.Class5Aliasing,vp_class5_aliasing_cabibbo.py,BOOK_04/class-5 aliasing exclusion (Cabibbo soft joint),yes,,DONE (closed in a prior committed campaign),C-controller
D0-LEPTON-GREEN-PUISEUX-OPERATOR-001,(prior campaign),CERT-CLOSED,D0.Matter.LeptonGreenPuiseuxOwner,vp_lepton_green_puiseux_operator.py,BOOK_04/04.8,yes,,DONE (closed in a prior committed campaign),C-controller
D0-LEPTON-RIEMANN-HURWITZ-BRANCH-INDEX-001,(prior campaign),CERT-CLOSED,D0.Matter.LeptonRiemannHurwitzBranchIndex,vp_lepton_riemann_hurwitz_branch_index.py,BOOK_04/04.8,yes,,DONE (closed in a prior committed campaign),C-controller
D0-PHASON-ARCHIVE-CAPACITY-REDSHIFT-001,(prior campaign),CERT-CLOSED,D0.Cosmology.PhasonArchiveCapacityRedshift,vp_phason_archive_capacity_redshift.py,BOOK_08/08.51,yes,,DONE (closed in a prior committed campaign),C-controller
D0-PHASON-WZ-CPL-PASSPORT-001,(prior campaign),PASSPORT-CLOSED,,vp_phason_wz_cpl_passport.py,BOOK_08/08.51,yes,,DONE (closed in a prior committed campaign),C-controller
D0-ADLER-WEISS-PARTITION-OWNER-001,(prior campaign),BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Bridge.AdlerWeissBridge,vp_fibonacci_if_bratteli.py,BOOK_06/symbolic-conjugacy owner (Adler-Weiss Markov partition + SFT finite-equivalence) for the I_f categorical<->toral map (01.21.4/06),yes,,DONE (closed in a prior committed campaign),C-controller
D0-WILLIAMS-SHIFT-EQUIVALENCE-OWNER-001,(prior campaign),CERT-CLOSED,D0.Dynamics.ToralShiftEquivalence,vp_toral_shift_equivalence.py,BOOK_06/06.30a,yes,,DONE (closed in a prior committed campaign),C-controller
D0-HIGGS-LOGDET-STATIONARY-POTENTIAL-001,(prior campaign),CERT-CLOSED,D0.Matter.HiggsLogdetStationary,vp_higgs_logdet_stationary.py,BOOK_04/04.16,yes,,DONE (closed in a prior committed campaign),C-controller
D0-HIGGS-SCALAR-PROJECTOR-CONSTRUCTIVE-001,(prior campaign),CORE-FORMALIZED,D0.Matter.HiggsScalarProjectorConstructive,vp_higgs_scalar_projector_constructive.py,BOOK_04/constructive finite Higgs scalar projector,yes,,DONE (closed in a prior committed campaign),C-controller
D0-HYPERCHARGE-ANOMALY-VARIETY-2DIM-001,(prior campaign),NO-GO,D0.Matter.HyperchargeAnomalyVariety,vp_hypercharge_anomaly_variety.py,BOOK_04/04.11,yes,,DONE (closed in a prior committed campaign),C-controller
D0-SM-HYPERCHARGE-MINIMAL-DENOMINATOR-001,(prior campaign),CERT-CLOSED,D0.Matter.HyperchargeMinimalDenominator,vp_sm_hypercharge_minimal_denominator.py,BOOK_04/04.9,yes,,DONE (closed in a prior committed campaign),C-controller
D0-HYPERCHARGE-FLOW-LATTICE-001,(prior campaign),CERT-CLOSED,D0.Matter.HyperchargeFlowLattice,vp_hypercharge_graph_flow_owner.py,BOOK_04/04.11,yes,,DONE (closed in a prior committed campaign),C-controller
D0-CMB-NS-LAPLACIAN-IDS-OWNER-001,(prior campaign),CERT-CLOSED,D0.Cosmology.CMBLaplacianIDS,vp_cmb_ns_laplacian_ids.py,BOOK_08/08.v15,yes,,DONE (closed in a prior committed campaign),C-controller
D0-REHEATING-HEAT-TRACE-JUMP-001,(prior campaign),CERT-CLOSED,D0.Cosmology.ReheatingHeatTraceJump,vp_reheating_heat_trace_jump.py,BOOK_08/08.v15,yes,,DONE (closed in a prior committed campaign),C-controller
D0-NEUTRINO-MASS-PASSPORT-001,(prior campaign),PASSPORT-CLOSED,,vp_neutrino_mass_passport.py,BOOK_04/04.8,yes,,DONE (closed in a prior committed campaign),C-controller
D0-ALPHA-FESHBACH-DIXMIER-OWNER-001,(prior campaign),PROOF-TARGET,,vp_alpha_feshbach_dixmier_owner.py,BOOK_02/02.13,no,missing profinite/tower Dixmier pairing: residue->Delta_alpha normalization over the infinite 2^11 tower (external Dixmier/Wodzicki); finite heat trace cannot supply the 1/s pole,KEEP PROOF-TARGET (exact gap named),C-controller
D0-LEPTON-INDIRECT-COEFFICIENT-OWNER-001,(prior campaign),PROOF-TARGET,,vp_lepton_indirect_coefficient_owner.py,BOOK_04/04.8,no,"missing finite Green resolvent G_shell over the shell torus with provably-(0,1/4,1/3) branch indices PLUS operator uniqueness (branch index alone does not determine the operator)",KEEP PROOF-TARGET (exact gap named),C-controller
D0-PHASON-WZ-EXPLICIT-FUNCTION-001,(prior campaign),PROOF-TARGET,,vp_phason_wz_explicit_function.py,BOOK_08/08.51,no,missing continuum interpolation w_N -> w_D0(u) of the integer-window ratio on a declared late-time domain,KEEP PROOF-TARGET (exact gap named),C-controller
D0-PHASON-WDE-Z-MAP-OWNER-001,(prior campaign),PROOF-TARGET,,,BOOK_08/08.51,no,missing continuum interpolation PLUS the physical sign/magnitude normalization map to negative w_DE on the late-time window,KEEP PROOF-TARGET (exact gap named),C-controller
D0-TORAL-TIME-MARKOV-CONJUGACY-001,(prior campaign),PROOF-TARGET,D0.Geometry.LucasVoronoiMarkovPartition,vp_toral_time_markov_conjugacy.py,BOOK_06/06.31,no,"missing explicit Williams strong-shift-equivalence (R,S,L) chain witnessing topological conjugacy (SE invariants are necessary not sufficient; external Adler-Weiss)",KEEP PROOF-TARGET (exact gap named),C-controller
D0-ADLER-WEISS-INTERNAL-CONSTRUCTION-001,(prior campaign),PROOF-TARGET,,vp_adler_weiss_internal_construction.py,BOOK_06/06.31,no,missing Voronoi/Lucas-cell-exact Markov-partition existence proof (boundary mapping); external Adler-Weiss owner stands,KEEP PROOF-TARGET (exact gap named),C-controller
D0-HIGGS-PHASON-CONDENSATION-OWNER-001,(prior campaign),PROOF-TARGET,,vp_higgs_phason_condensation_owner.py,BOOK_04/04.10,no,missing proven double-well negative-quadratic sign f''(0)<0 (the spontaneous-symmetry-breaking condition is not forced); EOM stationarity is closed,KEEP PROOF-TARGET (exact gap named),C-controller
D0-HYPERCHARGE-GRAPH-FLOW-OWNER-001,(prior campaign),PROOF-TARGET,,vp_hypercharge_graph_flow_owner.py,BOOK_04/04.9,no,"missing flow->Weyl ledger map Phi PLUS an internally-derived Y_nuRc=0 and up/down branch selector; anomaly+constraints leave a 2-dim span{Y,B-L} variety (D0-HYPERCHARGE-ANOMALY-VARIETY-2DIM-001 NO-GO)",KEEP PROOF-TARGET (exact gap named),C-controller
D0-CMB-PHASON-SPECTRUM-OWNER-001,(prior campaign),PROOF-TARGET,,vp_cmb_phason_spectrum_owner.py,BOOK_08/08.52,no,"missing canonical internally-forced IDS smoothing functional fixing (k,u) so n_s = f({lambda_i}) is a single determined value",KEEP PROOF-TARGET (exact gap named),C-controller
D0-CMB-IDS-SMOOTHING-OWNER-001,(prior campaign),PROOF-TARGET,,vp_cmb_ns_laplacian_ids.py,BOOK_08/08.v15,no,"missing canonical internally-forced smoothing/evaluation rule fixing the pair (k,u); spectrum alone does NOT determine n_s (NO-GO closed in D0-CMB-NS-LAPLACIAN-IDS-OWNER-001)",KEEP PROOF-TARGET (exact gap named),C-controller
D0-CKM-CLASS5-PARITY-EXCLUSION-001,(prior campaign),PROOF-TARGET,D0.Matter.CKMClass5ParityExclusion,vp_ckm_class5_parity_exclusion.py,BOOK_04/04.10,no,SUPERSEDED: exclusion is CORE in D0-CLASS5-ALIASING-001 + selector CERT-CLOSED in D0-CKM-CLASS5-SELECTOR-OWNER-001; the parity-only route stays a non-owner (not a global blocker),KEEP PROOF-TARGET (exact gap named),C-controller
D0-DELTA-ALPHA-RESIDUE-PAIRING-OWNER-001,(prior campaign),ABSENT,,,,no,missing profinite/tower Dixmier pairing owner (same gap as D0-ALPHA-FESHBACH-DIXMIER-OWNER-001); the finite Feshbach residue recovers alpha_alg but not the Delta_alpha normalization,RECORD as exact blocker (not minted as closed),C-controller
D0-DELTA-ALPHA-HEATTRACE-COEFFICIENT-OWNER-001,(prior campaign),ABSENT,,,,no,"no positive owner from a finite trace (c_-1=0, c_0=dim=30); missing a regularized profinite trace whose s^-1 coefficient is 2^11*pi0*phi^-2",RECORD as exact blocker (not minted as closed),C-controller
D0-LUCAS-MARKOV-PARTITION-OWNER-001,(prior campaign),ABSENT,,,,no,"missing internal Lucas/Voronoi Markov-partition existence proof; the GL(2,Z) similarity + SE invariants are CERT-CLOSED (D0-WILLIAMS-SHIFT-EQUIVALENCE-OWNER-001)",RECORD as exact blocker (not minted as closed),C-controller
D0-REHEATING-ENERGY-BUDGET-OWNER-001,(prior campaign),ABSENT,,,,no,missing finite energy-injection functional E_reheat(u)=-d/du log H(u) owner from the heat-trace jump (D0-REHEATING-HEAT-TRACE-JUMP-001 CERT-CLOSED is the spectral input),RECORD as exact blocker (not minted as closed),C-controller
D0-SMOOTH-MANIFOLD-INTERNAL-RECONSTRUCTION-001,(prior campaign),ABSENT,,,,no,missing finite-atlas -> smooth-shadow reconstruction (local-dim stability + discrete Poincare + heat-kernel Weyl); external Rieffel/GHP owner stands (ASSUMP-RIEFFEL-GHP),RECORD as exact blocker (not minted as closed),C-controller
D0-CONNES-GHP-SMOOTH-ATLAS-OWNER-001,(prior campaign),ABSENT,,,,no,missing GHP-Cauchy convergence proof for the D0 refinement sequence (external Rieffel quantum-metric / GHP limit),RECORD as exact blocker (not minted as closed),C-controller
D0-GW-HORIZON-HUM-PASSPORT-001,(prior campaign),ABSENT,,,,no,missing external-data manifest (GWOSC event list + template-subtraction + pre-registered residual statistic); frozen internal object I_f=log phi exists,RECORD as exact blocker (not minted as closed),C-controller
D0-GW-ECHO-SHORT-DELAY-PASSPORT-001,(prior campaign),ABSENT,,,,no,missing horizonless-seam short-echo-delay target + GWOSC external-data manifest,RECORD as exact blocker (not minted as closed),C-controller
D0-DARK-RATIO-PASSPORT-001,(prior campaign),ABSENT,,,,no,"missing cosmological-parameter external-data manifest for Omega_dark/Omega_visible; frozen internal object rank/nullity=3/30, visible 1/11, dark 10/11 exists",RECORD as exact blocker (not minted as closed),C-controller
D0-ALPHA-FESHBACH-DIXMIER-NORMALIZATION-OWNER-001,(prior campaign),ABSENT,,,,no,,DROP/SUPERSEDED: DUP of D0-ALPHA-FESHBACH-DIXMIER-OWNER-001 (PROOF-TARGET) -- do not mint,C-controller
D0-CKM-CLASS5-POINTER-COLLISION-001,(prior campaign),ABSENT,,,,no,,DROP/SUPERSEDED: DUP of D0-CLASS5-ALIASING-001 (CORE-FORMALIZED) -- do not mint,C-controller
D0-CABIBBO-SOFT-JOINT-CLOSED-001,(prior campaign),ABSENT,,,,no,,DROP/SUPERSEDED: DUP of D0-CLASS5-ALIASING-001 (CORE-FORMALIZED) -- do not mint,C-controller
D0-LEPTON-GREEN-PUISEUX-OPERATOR-OWNER-001,(prior campaign),ABSENT,,,,no,,"DROP/SUPERSEDED: DUP of D0-LEPTON-GREEN-PUISEUX-OPERATOR-001 (CERT-CLOSED) -- name variant, do not mint",C-controller
D0-LEPTON-BRANCH-INDEX-UNIQUENESS-001,(prior campaign),ABSENT,,,,no,,"DROP/SUPERSEDED: FALSE to close: Riemann-Hurwitz is genus-0 for every cyclic cover, does NOT force (4,3) uniqueness (proven in eight-front verification) -- not mintable",C-controller
D0-HIGGS-PHASON-CONDENSATION-EOM-001,(prior campaign),ABSENT,,,,no,,"DROP/SUPERSEDED: FOLDED into D0-HIGGS-PHASON-CONDENSATION-OWNER-001 (PROOF-TARGET, double-well sign gap); EOM stationarity already CERT-CLOSED in D0-HIGGS-LOGDET-STATIONARY-POTENTIAL-001",C-controller
D0-HIGGS-RANK2-SCALAR-SECTOR-PROJECTION-001,(prior campaign),ABSENT,,,,no,,DROP/SUPERSEDED: DUP of D0-HIGGS-SCALAR-PROJECTOR-CONSTRUCTIVE-001 (CORE-FORMALIZED) -- do not mint,C-controller
D0-HYPERCHARGE-FLOW-TO-WEYL-MAP-001,(prior campaign),ABSENT,,,,no,,DROP/SUPERSEDED: FALSE to close as unique: folded into D0-HYPERCHARGE-GRAPH-FLOW-OWNER-001 (PROOF-TARGET); anomaly variety is 2-dim (D0-HYPERCHARGE-ANOMALY-VARIETY-2DIM-001 NO-GO),C-controller
D0-HYPERCHARGE-DSIGMA-ROLE-ORTHOGONALITY-001,(prior campaign),ABSENT,,,,no,,DROP/SUPERSEDED: FALSE to close as unique: no charge equation on Y (would be vacuous); folded into D0-HYPERCHARGE-GRAPH-FLOW-OWNER-001 (PROOF-TARGET),C-controller
D0-SM-HYPERCHARGE-ROW-OWNER-001,(prior campaign),ABSENT,,,,no,,DROP/SUPERSEDED: FALSE to close: row uniqueness disproved (2-dim anomaly variety); the denominator 6 is owned by D0-SM-HYPERCHARGE-MINIMAL-DENOMINATOR-001 (CERT-CLOSED),C-controller
