target_id,module,theorem_name,kind,parked_reason
T_higgs_scalar_projector_constructive_closure,D0.Matter.HiggsScalarProjectorConstructive,Matter.higgs_scalar_projector_constructive_closure,THEOREM,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
T_higgs_scalar_projector_rank_one_no_go,D0.Matter.HiggsScalarProjectorConstructive,Matter.finite_scalar_projector_rank_one_no_go,NO_GO,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
T_higgs_scalar_projector_minimal_rank_two,D0.Matter.HiggsScalarProjectorConstructive,Matter.finite_scalar_projector_minimal_rank_two,THEOREM,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
T_higgs_scalar_projector_rank_two_readout_unique,D0.Matter.HiggsScalarProjectorConstructive,Matter.finite_scalar_projector_rank_two_readout_unique,THEOREM,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
T_sm_minimal_scalar_action_terms_closed,D0.Gauge.SMScalarActionCompletion,Gauge.sm_minimal_scalar_action_terms_closed,THEOREM,[parked 2026-07-05 G4 release audit] module D0.Gauge.SMScalarActionCompletion does not exist
T_sm_scalar_completion_preserves_frozen_base,D0.Gauge.SMScalarActionCompletion,Gauge.sm_scalar_completion_preserves_frozen_base,THEOREM,[parked 2026-07-05 G4 release audit] module D0.Gauge.SMScalarActionCompletion does not exist
T_sm_scalar_completion_projector_rank_two,D0.Gauge.SMScalarActionCompletion,Gauge.sm_scalar_completion_projector_rank_two,THEOREM,[parked 2026-07-05 G4 release audit] module D0.Gauge.SMScalarActionCompletion does not exist
T_gap_labeling_requires_frozen_operator,D0.Matter.KTheoryGapLabeling,Matter.gap_labeling_requires_frozen_operator,THEOREM,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
T_meson_domain_wall_spectrum_admits_k0_labels,D0.Matter.KTheoryGapLabeling,Matter.meson_domain_wall_spectrum_admits_k0_labels,THEOREM,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
T_ckm_holonomy_spectrum_admits_k0_labels,D0.Matter.KTheoryGapLabeling,Matter.ckm_holonomy_spectrum_admits_k0_labels,THEOREM,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
T_archive_pressure_spectrum_admits_k0_labels,D0.Matter.KTheoryGapLabeling,Matter.archive_pressure_spectrum_admits_k0_labels,THEOREM,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
T_d0_hull_admits_noncommutative_solenoid_model,D0.Geometry.NonCommutativeSolenoid,Geometry.d0_hull_admits_noncommutative_solenoid_model,THEOREM,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
T_d0_heat_trace_admits_solenoid_spectral_triple_approx,D0.Geometry.NonCommutativeSolenoidGravity,Geometry.d0_heat_trace_admits_solenoid_spectral_triple_approx,THEOREM,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
T_finite_spin2_operator_is_tt_sector_of_solenoid_spectral_geometry,D0.Geometry.NonCommutativeSolenoidGravity,Geometry.finite_spin2_operator_is_tt_sector_of_solenoid_spectral_geometry,THEOREM,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
T_wtt4_is_compatible_with_noncommutative_solenoid_geometry,D0.Geometry.NonCommutativeSolenoidGravity,Geometry.wtt4_is_compatible_with_noncommutative_solenoid_geometry,THEOREM,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
T_lower_hodge_400_is_domain_wall_tension_seed,D0.Matter.MesonPhasonDomainWalls,Matter.lower_hodge_400_is_domain_wall_tension_seed,THEOREM,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
T_meson_domain_wall_fluctuation_operator_has_spectral_gaps,D0.Matter.MesonPhasonDomainWalls,Matter.meson_domain_wall_fluctuation_operator_has_spectral_gaps,THEOREM,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
T_meson_domain_wall_gaps_have_k0_labels,D0.Matter.MesonPhasonDomainWalls,Matter.meson_domain_wall_gaps_have_k0_labels,THEOREM,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
T_k0_labels_permit_meson_spectral_passport,D0.Matter.MesonPhasonDomainWalls,Matter.k0_labels_permit_meson_spectral_passport,THEOREM,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
T_torus_shell_noncommutator_defines_phason_connection_curvature,D0.Matter.CKMPhasonHolonomy,Matter.torus_shell_noncommutator_defines_phason_connection_curvature,THEOREM,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
T_ckm_holonomy_has_k_theory_class,D0.Matter.CKMPhasonHolonomy,Matter.ckm_holonomy_has_k_theory_class,THEOREM,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
T_ckm_cp_phase_is_oriented_noncommutative_area,D0.Matter.CKMPhasonHolonomy,Matter.ckm_cp_phase_is_oriented_noncommutative_area,THEOREM,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
T_sde_relaxation_modes_have_gap_labels,D0.Cosmology.PhasonFlipEntropy,Cosmology.sde_relaxation_modes_have_gap_labels,THEOREM,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
T_archive_pressure_spectrum_is_gap_labeled,D0.Cosmology.PhasonFlipEntropy,Cosmology.archive_pressure_spectrum_is_gap_labeled,THEOREM,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
